722.47,724.73,Tara,You thought Dracula was sexy?
724.81,727.04,Willow,No. He was yuck.
727.81,731.73,Anya,"Right. Except for the whole tall,"
727.81,731.73,Anya,"dark and handsome thing, yucko."
731.81,733.33,Xander,How would you know?
733.33,735.73,Anya,"Well, we hung out a few times."
735.81,740.73,Anya,Back in my demon days.
735.81,740.73,Anya,"You know, once or twice. He's pretty cool."
740.81,744.12,Anya,"You know, from a whole"
740.81,744.12,Anya,evilthing perspective.
744.25,746.29,Xander,Please. He was no big whoop.
746.37,750.76,Willow,"No big whoop""? What about when he turned"
746.37,750.76,Willow,himself into a bat? That was awesome.
750.85,754.37,Giles,"It must have been, yes."
750.85,754.37,Giles,"I must admit, I'm sorry I missed that."
754.45,755.73,Willow,Me too.
755.81,762.02,Willow,"The whole time I was thinking ""I wish"
755.81,762.02,Willow,"Giles were here. He'd know what to do."""
761.09,763.4,Willow,Didn't you guys think that?
763.53,766.41,Buffy,"Actually, I was more thinking ""Bat!"""
766.61,768.51,Xander,How come he can do that?
768.51,769.69,Giles,I have no idea.
770.25,772.61,Giles,There's a great deal of myth about Dracula.
772.69,776.97,Giles,I imagine the trick to defeating him
772.69,776.97,Giles,lies in separating the fact from the fiction.
777.05,781.25,Willow,Great point. That is so Giles
777.05,781.25,Willow,"to think of something like that, you know?"
781.69,784.45,Willow,That we would have never.
785.45,791.02,Buffy,So we should take things slow with Dracula.
785.45,791.02,Buffy,"He said we would meet again,"
789.09,791.53,Buffy,but I want to wait
789.09,791.53,Buffy,until we do some homework.
791.61,795.16,Riley,"He may have a bunch of swell party tricks,"
791.61,795.16,Riley,but he's still just a vampire.
795.37,798.15,Riley,Let's load up with stakes and go after him.
798.15,798.6,Xander,Second.
798.69,801.92,Anya,Buffy's right. Dracula's too slick
798.69,801.92,Anya,to fall for the usual stuff.
802.01,805.37,Buffy,So we hold off. No killing until
802.01,805.37,Buffy,we know what we're dealing with.
805.45,809.65,Riley,You're notjust saying that because of
805.45,809.65,Riley,those dark penetrating eyes of his? Are you?
810.01,811.84,Buffy,No. His eyes were...
811.93,814.69,Buffy,They were... There was no penetration.
814.77,816.25,Buffy,Cross my heart.
816.33,819.93,Giles,"All right. Willow, you and Tara"
816.33,819.93,Giles,find out everything you can
820.01,822.34,Giles,about the legend of Vlad the Impaler
822.34,825.13,Riley,on the Internet and I'll check the library.
826.13,829.09,Riley,The Initiative would have
826.13,829.09,Riley,found everything in a few hours.
829.17,831.29,Buffy,"We may not be as fast, but we'll find him."
831.37,834.17,Buffy,You guys'll reconvene here in the morning?
835.37,836.87,Riley,What's your plan?
836.87,837.76,Buffy,Big sleep.
837.85,840.41,Buffy,My Count encounter wiped me out.
840.49,843.85,Riley,I'm kinda wired.
840.49,843.85,Riley,Maybe I should just let you get your rest.
843.93,847.45,Buffy,"You sure? I mean, maybe"
843.93,847.45,Buffy,if you just lie down with me...
847.53,850.37,Riley,Nothing you are about to say will lead to rest.
851.41,854.61,Buffy,I guess you're right.
851.41,854.61,Buffy,I'll see you in the morning?
854.69,856.37,Riley,With doughnuts.
856.37,857.16,Buffy,Heaven.
860.65,864.28,Buffy,See? A little sugar and I'm all yours.
860.65,864.28,Buffy,Dracula schmacula.
864.89,868.52,Anya,I doubt he'd remember me.
864.89,868.52,Anya,I was just a silly young thing.
868.61,872.93,Anya,Like 700 or so. But he did say
868.61,872.93,Anya,"that this guy I cursed was doomed for ever,"
873.05,875.44,Anya,"which was really sweet, don't you think?"
875.53,876.68,Xander,Adorable.
876.77,881.4,Anya,It was a great spell. I made this jerk
876.77,881.4,Anya,"incredibly fat, like a human minivan."
883.37,886.52,Anya,<i>(V.O)</i> You should just mention my name
883.37,886.52,Anya,<i>(V.O)</i> if you see him again.
886.61,891.93,Xander,Or why not sit on top of a crypt and flaunt
